@relation Protein
@attribute Feature1 real
@attribute Feature2 real
@attribute Feature3 real
@attribute Feature4 real
@attribute Feature5 real
@attribute Feature6 real
@attribute Feature7 real
@attribute Feature8 real
@attribute Feature9 real
@attribute Feature10 real
@attribute Feature11 real
@attribute Feature12 real
@attribute Feature13 real
@attribute Feature14 real
@attribute Feature15 real
@attribute Feature16 real
@attribute Feature17 real
@attribute Feature18 real
@attribute Feature19 real
@attribute Feature20 real
@attribute Feature21 real
@attribute Feature22 real
@attribute Feature23 real
@attribute Feature24 real
@attribute Feature25 real
@attribute Feature26 real
@attribute Feature27 real
@attribute Feature28 real
@attribute Feature29 real
@attribute Feature30 real
@attribute Feature31 real
@attribute Feature32 real
@attribute Feature33 real
@attribute Feature34 real
@attribute Feature35 real
@attribute Feature36 real
@attribute Feature37 real
@attribute Feature38 real
@attribute Feature39 real
@attribute Feature40 real
@attribute Feature41 real
@attribute Feature42 real
@attribute Feature43 real
@attribute Feature44 real
@attribute Feature45 real
@attribute Feature46 real
@attribute Feature47 real
@attribute Feature48 real
@attribute Feature49 real
@attribute Feature50 real
@attribute Feature51 real
@attribute Feature52 real
@attribute Feature53 real
@attribute Feature54 real
@attribute Feature55 real
@attribute Feature56 real
@attribute Feature57 real
@attribute Feature58 real
@attribute Feature59 real
@attribute Feature60 real
@attribute Feature61 real
@attribute Feature62 real
@attribute Feature63 real
@attribute Feature64 real
@attribute Feature65 real
@attribute Feature66 real
@attribute Feature67 real
@attribute Feature68 real
@attribute Feature69 real
@attribute Feature70 real
@attribute Feature71 real
@attribute Feature72 real
@attribute Feature73 real
@attribute Feature74 real
@attribute Feature75 real
@attribute Feature76 real
@attribute Feature77 real
@attribute Feature78 real
@attribute Feature79 real
@attribute Feature80 real
@attribute Feature81 real
@attribute Feature82 real
@attribute Feature83 real
@attribute Feature84 real
@attribute Feature85 real
@attribute Feature86 real
@attribute Feature87 real
@attribute Feature88 real
@attribute Feature89 real
@attribute Feature90 real
@attribute Feature91 real
@attribute Feature92 real
@attribute Feature93 real
@attribute Feature94 real
@attribute Feature95 real
@attribute Feature96 real
@attribute Feature97 real
@attribute Feature98 real
@attribute Feature99 real
@attribute Feature100 real
@attribute Feature101 real
@attribute Feature102 real
@attribute Feature103 real
@attribute Feature104 real
@attribute Feature105 real
@attribute Feature106 real
@attribute Feature107 real
@attribute Feature108 real
@attribute Feature109 real
@attribute Feature110 real
@attribute Feature111 real
@attribute Feature112 real
@attribute Feature113 real
@attribute Feature114 real
@attribute Feature115 real
@attribute Feature116 real
@attribute Feature117 real
@attribute Feature118 real
@attribute Feature119 real
@attribute Feature120 real
@attribute Feature121 real
@attribute Feature122 real
@attribute Feature123 real
@attribute Feature124 real
@attribute Feature125 real
@attribute Feature126 real
@attribute Feature127 real
@attribute Feature128 real
@attribute Feature129 real
@attribute Feature130 real
@attribute Feature131 real
@attribute Feature132 real
@attribute Feature133 real
@attribute Feature134 real
@attribute Feature135 real
@attribute Feature136 real
@attribute Feature137 real
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27}
@data
0.053946,0.048047,0.049682,0.050863,0.047174,0.051645,0.051359,0.048300,0.050759,0.050640,0.049785,0.051200,0.050609,0.048156,0.047823,0.051768,0.052085,0.047477,0.047039,0.051643,0.053107,0.048261,0.051584,0.051390,0.046432,0.050566,0.049024,0.050431,0.051847,0.049564,0.050123,0.050815,0.051690,0.050967,0.047322,0.051509,0.050647,0.044735,0.049052,0.050933,0.054768,0.048997,0.049149,0.047582,0.046959,0.050398,0.049333,0.048149,0.054007,0.050720,0.051493,0.051598,0.051884,0.050407,0.043996,0.050987,0.050375,0.046308,0.049736,0.053153,2.977386,0.140940,0.033557,0.060403,0.067114,0.053691,0.053691,0.087248,0.046980,0.073826,0.093960,0.026846,0.040268,0.033557,0.013423,0.020134,0.026846,0.020134,0.053691,0.033557,0.020134,2.828187,149,0.731544,0.000000,0.581717,0.000000,1.000000,0.000000,0.134648,0.543565,0.985256,0.993197,3.989003,-0.110199,0.988857,0.083842,0.231293,0.229342,0.543752,0.984919,0.993197,3.989003,-0.110380,0.988518,0.083842,0.231293,0.321339,0.660407,0.018253,0.101627,0.081982,0.063436,0.044211,0.032248,0.022864,0.013818,0.003345,-0.007095,0.110043,0.088540,0.068710,0.048366,0.034231,0.023617,0.013640,0.001473,-0.009562,0.000443,0.000406,0.000275,0.000202,0.000132,0.000087,0.000001,-0.000084,-0.000160 ,1
0.055754,0.048037,0.049721,0.050158,0.046290,0.051139,0.051743,0.048026,0.050156,0.050454,0.050627,0.051423,0.049987,0.049411,0.047497,0.052073,0.051663,0.046065,0.047357,0.052418,0.053569,0.049057,0.052454,0.051540,0.044733,0.050982,0.049235,0.050453,0.052504,0.049088,0.050558,0.051996,0.051353,0.050707,0.047209,0.051517,0.050610,0.043705,0.048595,0.050136,0.055499,0.047475,0.049622,0.049516,0.046551,0.049685,0.049441,0.048030,0.054376,0.050718,0.053117,0.050583,0.051400,0.051740,0.045467,0.050119,0.049974,0.044561,0.048256,0.053869,2.976376,0.164384,0.013699,0.082192,0.041096,0.061644,0.047945,0.075342,0.027397,0.068493,0.095890,0.020548,0.047945,0.054795,0.006849,0.034247,0.027397,0.027397,0.068493,0.020548,0.013699,2.764988,146,0.767123,0.000000,0.542729,0.000000,1.000000,0.000000,0.118151,0.592075,0.987369,0.993056,4.164242,0.065284,0.992126,0.084848,0.166667,0.200689,0.592075,0.987861,0.993056,4.166504,0.065183,0.992126,0.084507,0.166667,0.316931,0.672719,0.010349,0.089941,0.067143,0.045699,0.022800,0.005696,-0.007876,-0.017157,-0.022260,-0.024977,0.092665,0.069392,0.047707,0.024641,0.007088,-0.006873,-0.016827,-0.022734,-0.026003,0.000140,0.000079,0.000039,0.000030,0.000038,0.000041,0.000025,-0.000006,-0.000027 ,1
0.054031,0.048970,0.049912,0.050038,0.044308,0.051325,0.051091,0.046946,0.050669,0.049377,0.050854,0.052253,0.049794,0.052761,0.046719,0.051938,0.051521,0.047862,0.049177,0.050455,0.054833,0.048559,0.051048,0.052244,0.045384,0.050748,0.049890,0.050747,0.051810,0.049817,0.051264,0.052843,0.051522,0.048054,0.046373,0.052568,0.051476,0.041855,0.047171,0.051794,0.055356,0.048184,0.049480,0.048963,0.045466,0.050004,0.049703,0.049671,0.051730,0.050792,0.051154,0.052040,0.051805,0.051710,0.046335,0.050616,0.049951,0.046119,0.048291,0.052629,2.976919,0.147887,0.021127,0.084507,0.056338,0.063380,0.056338,0.070423,0.028169,0.119718,0.077465,0.021127,0.035211,0.035211,0.028169,0.028169,0.021127,0.014085,0.042254,0.028169,0.021127,2.787077,142,0.732394,0.000000,0.580863,0.000000,1.000000,0.000000,0.134023,0.537718,0.984327,0.992857,3.985927,0.070405,0.991590,0.070051,0.135714,0.228069,0.537924,0.984333,0.992857,3.984018,0.069951,0.991593,0.069946,0.135714,0.313348,0.677961,0.008691,0.098060,0.072985,0.047373,0.025247,0.009151,-0.002929,-0.012344,-0.019473,-0.023617,0.101639,0.076080,0.049518,0.026676,0.009714,-0.003052,-0.013297,-0.021117,-0.025492,0.000104,0.000037,0.000036,0.000024,-0.000001,-0.000014,-0.000023,-0.000029,-0.000027 ,1
0.052832,0.048832,0.050228,0.049756,0.046402,0.050696,0.051355,0.048534,0.050837,0.050342,0.050442,0.052248,0.050537,0.052478,0.046249,0.052057,0.051632,0.046582,0.047884,0.050076,0.053665,0.049160,0.051371,0.050161,0.045879,0.051346,0.049397,0.049895,0.053846,0.050725,0.050866,0.052308,0.051288,0.048731,0.046711,0.051242,0.050352,0.042726,0.048181,0.052151,0.056321,0.047890,0.048055,0.049487,0.047435,0.050293,0.050354,0.047962,0.052386,0.049930,0.051319,0.050942,0.051947,0.051551,0.045369,0.050560,0.050133,0.046584,0.048765,0.052718,2.976946,0.115646,0.006803,0.081633,0.074830,0.088435,0.074830,0.095238,0.027211,0.095238,0.081633,0.020408,0.027211,0.027211,0.013605,0.027211,0.027211,0.020408,0.061224,0.020408,0.013605,2.759446,147,0.700680,0.000000,0.610287,0.000000,1.000000,0.000000,0.150510,0.508046,0.987179,0.993103,4.115768,0.073195,0.990950,0.077786,0.151724,0.256764,0.508238,0.987373,0.993103,4.115081,0.072942,0.990954,0.077816,0.151724,0.324841,0.653795,0.021363,0.111978,0.087620,0.060271,0.034459,0.012719,-0.003133,-0.015121,-0.025697,-0.035115,0.125084,0.100485,0.072884,0.045725,0.020263,0.000554,-0.015215,-0.028325,-0.038453,0.001674,0.001209,0.000776,0.000525,0.000434,0.000345,0.000299,0.000140,-0.000008 ,1
0.053219,0.048289,0.049293,0.049819,0.046228,0.050654,0.050432,0.048015,0.051727,0.049991,0.050643,0.051443,0.053314,0.051573,0.045587,0.051342,0.051586,0.047542,0.048255,0.051047,0.053951,0.048548,0.051590,0.051063,0.047342,0.050797,0.048992,0.050889,0.054101,0.049693,0.051010,0.052116,0.050908,0.047678,0.047079,0.052344,0.050935,0.041828,0.047787,0.051348,0.055232,0.048773,0.049673,0.048565,0.048882,0.050441,0.050543,0.048899,0.051619,0.049135,0.050565,0.050297,0.051535,0.050636,0.045248,0.049932,0.050434,0.046855,0.050471,0.052264,2.976665,0.155844,0.032468,0.051948,0.064935,0.051948,0.064935,0.071429,0.032468,0.077922,0.090909,0.032468,0.038961,0.038961,0.019481,0.032468,0.019481,0.019481,0.045455,0.038961,0.019481,2.829266,154,0.740260,0.000000,0.572785,0.000000,1.000000,0.000000,0.129972,0.563350,0.984841,0.993421,4.126944,0.080432,0.993039,0.075558,0.190789,0.221368,0.562565,0.985440,0.993421,4.121861,0.079713,0.992875,0.075305,0.190789,0.304978,0.676335,0.018687,0.088525,0.067021,0.043946,0.018036,0.001385,-0.009952,-0.016849,-0.025598,-0.032721,0.094727,0.071283,0.046076,0.019672,0.001777,-0.010725,-0.018382,-0.027804,-0.034493,0.000758,0.000259,0.000138,0.000093,0.000036,0.000025,0.000008,-0.000040,-0.000072 ,1
0.053568,0.049034,0.050065,0.051204,0.044029,0.050956,0.051222,0.047992,0.051239,0.048985,0.050820,0.052366,0.049507,0.052043,0.046947,0.051559,0.051852,0.047914,0.048435,0.050263,0.054671,0.049234,0.051438,0.050792,0.045844,0.051072,0.050081,0.049731,0.052751,0.049839,0.051051,0.053118,0.051713,0.047830,0.045962,0.052453,0.051310,0.042101,0.047213,0.051797,0.055586,0.046606,0.049478,0.049269,0.045905,0.049049,0.049871,0.050008,0.050959,0.050945,0.051241,0.050960,0.053462,0.051930,0.046506,0.050805,0.050665,0.045771,0.047904,0.053079,2.976762,0.147059,0.014706,0.088235,0.066176,0.058824,0.051471,0.058824,0.022059,0.125000,0.110294,0.022059,0.036765,0.029412,0.022059,0.029412,0.022059,0.007353,0.044118,0.029412,0.014706,2.731952,136,0.698529,0.000000,0.612105,0.000000,1.000000,0.000000,0.151195,0.511952,0.977641,0.992537,3.853643,0.125523,0.985533,0.074727,0.141791,0.257632,0.511390,0.979153,0.992537,3.855318,0.126868,0.985517,0.074478,0.141791,0.329473,0.659098,0.011429,0.099248,0.070360,0.044675,0.020925,0.003100,-0.008813,-0.017547,-0.028049,-0.032508,0.103415,0.073756,0.046223,0.021137,0.002023,-0.010694,-0.020326,-0.031169,-0.035750,0.000225,0.000063,0.000000,-0.000009,-0.000013,-0.000058,-0.000057,-0.000046,-0.000055 ,1
0.053617,0.048793,0.050163,0.050581,0.044484,0.051030,0.050465,0.049322,0.050724,0.049939,0.050832,0.052265,0.050039,0.052121,0.046797,0.051670,0.051768,0.046805,0.048386,0.050201,0.054165,0.049404,0.051684,0.050171,0.045428,0.051693,0.049503,0.050266,0.053854,0.050167,0.051501,0.052308,0.051506,0.048298,0.046328,0.051508,0.050190,0.043239,0.047132,0.051655,0.056628,0.046917,0.049143,0.050239,0.046978,0.050454,0.051454,0.048935,0.051140,0.049690,0.050803,0.050840,0.052025,0.051558,0.046636,0.050476,0.050351,0.044459,0.048646,0.052628,2.976921,0.150327,0.019608,0.084967,0.052288,0.065359,0.084967,0.071895,0.026144,0.098039,0.071895,0.019608,0.052288,0.045752,0.000000,0.026144,0.013072,0.032680,0.052288,0.019608,0.013072,2.739386,153,0.705882,0.000000,0.605797,0.000000,1.000000,0.000000,0.147876,0.520530,0.987447,0.993377,4.051641,0.127348,0.992366,0.076113,0.158940,0.252355,0.520795,0.987284,0.993377,4.054081,0.126800,0.992370,0.076003,0.158940,0.328285,0.662353,0.009361,0.116153,0.093585,0.070510,0.045889,0.025636,0.009122,-0.004721,-0.017562,-0.025947,0.120812,0.097562,0.073571,0.048046,0.026849,0.009538,-0.005199,-0.019258,-0.028357,0.000278,0.000137,0.000053,0.000017,-0.000000,-0.000017,-0.000028,-0.000040,-0.000043 ,1
0.051579,0.048977,0.049431,0.049794,0.047171,0.051361,0.051283,0.048910,0.051428,0.048882,0.049734,0.052675,0.052120,0.050849,0.045823,0.050926,0.051415,0.049112,0.047750,0.050780,0.053580,0.048445,0.051851,0.050948,0.046218,0.049983,0.049586,0.050397,0.054777,0.049500,0.051270,0.052818,0.050870,0.048149,0.046786,0.052772,0.051192,0.042821,0.047877,0.050160,0.054770,0.049488,0.048950,0.048315,0.049244,0.049802,0.049333,0.047417,0.054280,0.050090,0.050778,0.050484,0.052057,0.050671,0.046087,0.050408,0.050514,0.044116,0.050512,0.052684,2.975458,0.143836,0.020548,0.068493,0.041096,0.047945,0.061644,0.095890,0.047945,0.102740,0.068493,0.041096,0.027397,0.041096,0.013699,0.020548,0.013699,0.027397,0.054795,0.047945,0.013699,2.799213,146,0.712329,0.000000,0.600053,0.000000,1.000000,0.000000,0.144050,0.534965,0.985476,0.993056,4.011874,-0.004505,0.991830,0.071580,0.131944,0.245547,0.535062,0.985478,0.993056,4.010902,-0.004579,0.991832,0.071593,0.131944,0.355144,0.623694,0.021162,0.098321,0.077011,0.054823,0.027697,0.009963,-0.004043,-0.014521,-0.024134,-0.030949,0.106677,0.082654,0.057609,0.029029,0.009024,-0.006566,-0.017985,-0.028067,-0.034279,0.000772,0.000395,0.000353,0.000171,0.000019,-0.000072,-0.000095,-0.000173,-0.000161 ,1
0.052641,0.049569,0.049242,0.049999,0.045442,0.051407,0.051506,0.047826,0.050093,0.050103,0.050587,0.052358,0.049248,0.052709,0.047071,0.051287,0.050551,0.048675,0.048723,0.050964,0.054352,0.049042,0.051821,0.051223,0.045087,0.051248,0.050690,0.050316,0.052912,0.049624,0.050649,0.052935,0.051343,0.047347,0.046060,0.053402,0.051481,0.042467,0.046953,0.051046,0.054940,0.048199,0.049321,0.049668,0.046457,0.050468,0.050843,0.049664,0.050522,0.050471,0.050234,0.052125,0.051835,0.051207,0.046721,0.050197,0.050886,0.045393,0.048150,0.052700,2.977086,0.099291,0.021277,0.085106,0.056738,0.049645,0.056738,0.070922,0.049645,0.106383,0.049645,0.021277,0.049645,0.042553,0.042553,0.056738,0.007092,0.028369,0.056738,0.028369,0.021277,2.864229,141,0.723404,0.000000,0.589709,0.000000,1.000000,0.000000,0.139184,0.541862,0.989225,0.992806,4.358482,0.177485,0.991918,0.082414,0.223022,0.236980,0.542071,0.989421,0.992806,4.356770,0.177204,0.991922,0.082446,0.223022,0.330830,0.655328,0.013842,0.102870,0.079685,0.052900,0.034343,0.020568,0.011015,0.003224,-0.005710,-0.012247,0.105999,0.082352,0.055409,0.035915,0.021307,0.011086,0.002662,-0.007149,-0.013792,0.000220,0.000098,0.000048,0.000098,-0.000009,-0.000030,-0.000059,-0.000069,-0.000065 ,1
0.052639,0.050496,0.050844,0.050210,0.045541,0.051915,0.051513,0.048122,0.050338,0.048431,0.049503,0.053796,0.050278,0.050355,0.048285,0.050764,0.050915,0.046552,0.049878,0.049624,0.052816,0.050632,0.051379,0.051953,0.045770,0.051632,0.050830,0.048943,0.050960,0.049465,0.051209,0.050689,0.052646,0.048866,0.046255,0.051424,0.050970,0.043475,0.049279,0.050806,0.053019,0.049615,0.050348,0.051409,0.045376,0.051755,0.052428,0.050307,0.051142,0.048673,0.049080,0.052654,0.049044,0.049683,0.046844,0.051324,0.050578,0.048283,0.048728,0.049709,2.983145,0.086667,0.033333,0.113333,0.040000,0.060000,0.060000,0.060000,0.060000,0.073333,0.046667,0.020000,0.073333,0.033333,0.060000,0.060000,0.013333,0.013333,0.000000,0.060000,0.033333,2.828837,150,0.746667,0.000000,0.565968,0.000000,1.000000,0.000000,0.127083,0.553411,0.987542,0.993243,3.939639,0.082101,0.989037,0.071967,0.135135,0.216266,0.554514,0.986903,0.993243,3.942465,0.083452,0.989224,0.071996,0.135135,0.301930,0.673240,0.024830,0.079608,0.057264,0.037360,0.020994,0.008811,0.000353,-0.005439,-0.013742,-0.021783,0.085633,0.062286,0.040886,0.022229,0.007970,-0.001725,-0.008572,-0.018466,-0.026731,0.000869,0.000475,0.000222,0.000038,-0.000090,-0.000070,0.000020,-0.000045,-0.000076 ,1
